year_month,num_ventas,maximo,minimo,media,desviacion_tipica
2024-01,17040,999.96,0.18,498.22,288.75
2022-10,16616,999.95,0.01,500.01,289.91
2019-12,598,999.32,1.45,511.20,284.68
2024-08,16462,999.9,0.1,504.85,289.66
2023-12,16644,999.94,0.06,500.21,290.94
2021-04,16761,999.94,0.24,501.06,288.95
2020-11,16766,999.98,0.06,496.09,289.00
2021-07,16511,999.88,0.13,498.44,289.41
2023-02,16704,999.99,0.05,499.21,288.79
2023-07,16777,999.97,0.01,500.57,288.04
2022-11,16772,1000,0.05,499.70,289.87
2024-02,16502,999.99,0.08,496.87,287.65
2020-09,16532,999.98,0.04,501.01,290.23
2022-09,16665,999.94,0.19,502.25,290.37
2021-09,16667,999.9,0.03,499.91,289.57
2024-12,16246,999.99,0.2,497.40,289.82
2021-12,16716,999.98,0.05,500.60,289.09
2021-05,16703,999.99,0.09,497.35,286.45
2022-07,16531,999.87,0.02,499.54,287.62
2022-03,16831,1000,0.07,492.97,289.26
2021-11,16701,999.99,0.05,498.88,289.04
2024-07,16801,999.98,0.08,501.76,287.51
2021-02,16686,999.98,0.25,500.27,289.33
2020-03,16833,999.97,0.04,500.32,288.49
2022-06,16842,999.95,0.02,495.73,288.18
2022-02,16467,999.96,0.06,500.52,289.58
2023-06,16630,999.97,0.05,497.85,290.04
2020-05,16788,999.92,0.03,499.53,287.94
2023-08,16706,999.88,0.01,496.18,287.85
2024-09,16602,999.94,0.01,503.36,288.46
2023-04,16803,999.91,0.13,503.06,289.30
2022-05,16427,999.95,0.06,504.66,288.84
2020-02,16474,999.99,0.21,501.77,288.21
2023-11,16814,999.99,0.07,499.51,288.93
2021-03,16527,999.99,0.04,502.67,289.37
2022-12,16820,999.97,0.06,496.85,290.16
2020-06,16638,999.94,0.23,498.39,289.12
2024-06,16601,999.94,0.07,499.01,287.68
2021-10,16553,999.92,0.06,498.41,289.09
2020-08,16893,999.99,0.03,501.36,290.08
2021-01,16710,999.91,0.1,501.87,288.80
2023-01,16617,999.99,0.07,499.67,288.33
2023-10,16889,999.97,0.02,500.26,288.79
2020-12,16615,999.97,0.06,501.77,288.88
2021-06,16627,1000,0.22,499.30,289.98
2020-01,16633,999.97,0.01,502.87,288.63
2020-10,16609,999.86,0,501.37,289.98
2024-11,16627,999.93,0.02,502.15,288.32
2022-04,16503,999.98,0.04,498.62,286.70
2024-04,16737,999.99,0.08,501.19,290.83
2020-04,16808,999.9,0.02,500.00,290.09
2022-08,16526,999.98,0.01,501.64,288.11
2023-05,16543,999.93,0.04,507.32,287.21
2020-07,16477,1000,0.12,500.27,287.28
2024-03,16482,999.93,0.03,502.67,289.01
2021-08,16699,999.96,0.02,499.44,288.70
2024-10,16827,999.97,0.01,500.60,288.27
2024-05,16607,999.87,0.01,499.82,289.18
2022-01,16731,999.8,0,502.02,287.11
2023-09,16325,999.98,0.11,497.03,289.83
2023-03,16758,999.96,0.03,498.69,289.84
