year_month,num_ventas,maximo,minimo,media,desviacion_tipica
2021-10,16435,999.96,0.14,496.45,287.68
2022-04,16745,999.85,0.02,499.13,288.04
2024-02,16662,999.99,0.06,502.71,289.46
2022-07,16707,999.96,0.12,500.20,288.23
2021-04,16567,999.96,0.02,501.58,285.86
2022-01,16871,999.99,0.05,501.54,286.60
2024-08,16449,999.77,0.02,501.36,290.11
2022-11,16746,1000,0.01,503.51,289.01
2023-07,16634,999.99,0,500.48,289.22
2022-10,16607,999.98,0.09,500.87,288.00
2023-12,16600,999.93,0.06,503.18,289.75
2021-11,17093,999.99,0.01,501.28,288.24
2024-06,16438,999.94,0.01,501.72,289.79
2021-07,16731,999.97,0.03,501.35,289.07
2022-03,16576,999.97,0.01,497.67,288.71
2020-01,16822,999.96,0.07,499.04,287.44
2020-09,16465,999.99,0.01,499.02,288.93
2020-06,16883,999.99,0.02,497.40,289.71
2023-02,16778,999.84,0.05,503.64,289.26
2021-01,16527,999.89,0.02,500.20,289.59
2020-03,16707,999.98,0.07,498.26,287.78
2021-06,16638,999.98,0.04,502.65,288.23
2022-06,16586,999.89,0.1,499.37,290.26
2024-09,16609,999.89,0.07,494.86,289.75
2020-10,16543,999.97,0.23,502.99,287.54
2021-09,16691,999.94,0.02,499.54,287.94
2023-08,16527,999.9,0.04,501.21,289.97
2022-02,16731,999.98,0.22,500.26,287.23
2023-06,16497,1000,0.05,497.64,289.37
2020-04,16579,999.96,0.01,499.09,290.00
2023-11,16627,999.85,0.01,496.47,288.10
2024-03,16758,999.97,0.11,499.93,289.60
2024-12,16074,1000,0.05,502.61,289.61
2020-12,16709,999.96,0.03,502.36,291.00
2024-10,16845,999.87,0.03,499.82,289.57
2023-10,16709,999.92,0.05,499.10,288.75
2023-05,16833,999.97,0.03,499.76,289.74
2020-11,16862,999.99,0.04,502.60,288.04
2021-05,16734,999.99,0.12,497.64,289.03
2021-02,16521,999.99,0.07,503.32,288.55
2024-07,16609,999.94,0.01,502.16,288.80
2020-02,16732,999.94,0.08,498.29,288.24
2024-04,16661,999.96,0.15,496.87,289.15
2020-07,16630,999.99,0.01,503.23,290.06
2020-05,16475,999.97,0.04,498.60,291.31
2022-09,16537,999.95,0.05,496.80,288.57
2022-08,16839,999.98,0.28,498.88,287.24
2022-05,16520,999.95,0.01,496.31,290.22
2024-01,16661,999.96,0.02,503.87,287.06
2023-04,16604,999.94,0.16,498.80,288.99
2023-01,16845,999.97,0.04,500.58,289.37
2022-12,16569,1000,0.06,501.41,287.59
2021-03,16522,999.89,0.31,500.36,287.00
2023-09,16786,999.89,0.01,499.54,289.37
2023-03,16788,999.97,0.02,498.87,288.39
2024-11,16672,999.98,0.02,498.82,287.11
2020-08,16725,999.99,0.12,498.62,290.20
2021-08,16773,999.94,0.09,500.49,290.09
2024-05,16729,999.93,0.22,498.75,289.49
2021-12,16639,999.97,0.12,497.17,288.83
2019-12,568,998.5,0.32,496.41,294.42
